ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
7-21,Présidentielle,2022,1,2022-04-10,02,28,07,07,21,92.0,1448.0,1163.0,1163,6.0,3.0,1154.0,0,11.0,553.0,11.0,68.0,166.0,118.0,13.0,33.0,177,1.0,3.0,48.86119388226026,2.303524456773725
20-60,Présidentielle,2022,1,2022-04-10,06,79,20,20,60,70.0,1352.0,1112.0,1112,13.0,6.0,1093.0,2,25.0,299.0,15.0,58.0,64.0,419.0,39.0,107.0,48,10.0,7.0,48.8627805641203,2.396970941251026
16-26,Présidentielle,2022,1,2022-04-10,14,61,16,16,26,72.0,1502.0,1196.0,1197,5.0,5.0,1187.0,0,4.0,600.0,6.0,62.0,192.0,94.0,5.0,45.0,170,2.0,7.0,48.85076641333272,2.2656103918934827
14-33,Présidentielle,2022,1,2022-04-10,11,53,14,14,33,94.0,1572.0,1249.0,1248,12.0,9.0,1227.0,1,23.0,478.0,12.0,40.0,95.0,281.0,36.0,141.0,98,6.0,16.0,48.839985121428455,2.3238367226072794
19-37,Présidentielle,2022,1,2022-04-10,16,75,19,19,37,31.0,1379.0,1005.0,1005,11.0,4.0,990.0,7,17.0,208.0,11.0,89.0,72.0,481.0,17.0,36.0,36,6.0,10.0,48.87595724207849,2.395097910861788
16-14,Présidentielle,2022,1,2022-04-10,14,62,16,16,14,52.0,1358.0,1091.0,1091,4.0,3.0,1084.0,0,6.0,508.0,10.0,54.0,229.0,66.0,5.0,53.0,143,4.0,6.0,48.85924014767389,2.2820943692908315
14-20,Présidentielle,2022,1,2022-04-10,11,56,14,14,20,36.0,1409.0,1104.0,1104,13.0,3.0,1088.0,12,20.0,310.0,17.0,81.0,67.0,419.0,23.0,77.0,46,3.0,13.0,48.834654582283555,2.3155122250097686
16-8,Présidentielle,2022,1,2022-04-10,14,62,16,16,8,71.0,1322.0,1077.0,1077,3.0,2.0,1072.0,2,6.0,547.0,14.0,40.0,207.0,54.0,8.0,33.0,149,2.0,10.0,48.8627105903608,2.2792200123967428
7-2,Présidentielle,2022,1,2022-04-10,02,26,07,07,2,86.0,1307.0,1045.0,1045,10.0,4.0,1031.0,2,6.0,538.0,11.0,51.0,145.0,96.0,10.0,38.0,122,2.0,10.0,48.86113374969025,2.3174710844754345
2-5,Présidentielle,2022,1,2022-04-10,01,07,02,01,5,82.0,1472.0,1166.0,1171,12.0,1.0,1158.0,1,16.0,503.0,13.0,54.0,71.0,284.0,30.0,110.0,64,2.0,10.0,48.867452993111606,2.3459453147650438
11-15,Présidentielle,2022,1,2022-04-10,07,43,11,11,15,106.0,1700.0,1398.0,1398,12.0,2.0,1384.0,4,35.0,557.0,9.0,62.0,85.0,377.0,31.0,143.0,63,6.0,12.0,48.85545157525134,2.3700393336788075
